,u,dv,x,dx,theta,dtheta
201040,1.052383,0,-1.111047,0.134028,0.019242,-0.060976
201060,1.211975,0,-1.108354,0.132067,0.018379,0.121951
201080,1.090494,0,-1.105459,0.131366,0.01727,0
201100,0.871545,0,-1.102531,0.132496,0.018251,-0.243902
201120,0.831615,0,-1.099872,0.13165,0.020568,-0.304878
201140,1.010475,0,-1.097448,0.128977,0.02214,-0.121951
201160,1.175897,0,-1.095058,0.126173,0.021892,0.060976
201180,1.276641,0,-1.0925,0.122387,0.020299,0.182927
201200,1.10131,0,-1.089639,0.122818,0.019577,0
201220,1.091578,0,-1.086643,0.126465,0.019211,0
201240,1.133159,0,-1.083681,0.132363,0.018608,0.060976
201260,1.067253,0,-1.080753,0.136707,0.018249,0
201280,1.059968,0,-1.077824,0.139931,0.01814,0
201300,1.111471,0,-1.075031,0.13852,0.017768,0.060976
201320,1.159049,0,-1.072237,0.136557,0.01679,0.121951
201340,1.253472,0,-1.069308,0.136554,0.014957,0.243902
201360,1.23254,0,-1.066212,0.137821,0.012759,0.243902
201380,1.101638,0,-1.063048,0.140488,0.01092,0.121951
201400,0.9787,0,-1.059985,0.143437,0.010175,0
201420,0.971144,0,-1.05709,0.144281,0.009675,0
201440,1.076614,0,-1.054363,0.141896,0.008943,0.121951
201460,1.014178,0,-1.051637,0.138245,0.007848,0.060976
201480,1.009817,0,-1.04891,0.133889,0.006991,0.060976
201500,1.006684,0,-1.046386,0.128567,0.006129,0.060976
201520,1.001047,0,-1.043761,0.126313,0.005396,0.060976
201540,0.940324,0,-1.041169,0.125331,0.004904,0
201560,0.882672,0,-1.038611,0.123222,0.004653,-0.060976
201580,0.832817,0,-1.036221,0.119991,0.005257,-0.121951
201600,0.83804,0,-1.033965,0.117314,0.005864,-0.121951
201620,0.736221,0,-1.031811,0.112827,0.006729,-0.243902
201640,0.430992,0,-1.029792,0.107216,0.009913,-0.609756
201660,0.366278,0,-1.02821,0.098519,0.015045,-0.731707
201680,0.687656,0,-1.027032,0.086737,0.01932,-0.426829
201700,0.987153,0,-1.025786,0.076484,0.020902,-0.121951
201720,1.101134,0,-1.024137,0.071432,0.020772,0
201740,1.201275,0,-1.022084,0.072845,0.019794,0.121951
201760,1.018192,0,-1.019559,0.08309,0.01943,-0.060976
201780,0.841635,0,-1.016934,0.09811,0.020652,-0.243902
201800,0.841418,0,-1.014544,0.108639,0.022487,-0.243902
201820,0.899803,0,-1.012288,0.113129,0.023829,-0.182927
201840,0.906509,0,-1.010067,0.114101,0.025165,-0.182927
201860,0.969374,0,-1.007812,0.111152,0.026014,-0.121951
201880,1.082275,0,-1.005523,0.108205,0.026134,0
201900,1.021389,0,-1.003032,0.109189,0.025895,-0.060976
201920,0.856683,0,-1.000507,0.111845,0.026874,-0.243902
201940,0.757353,0,-0.998084,0.113951,0.029076,-0.365854
201960,0.721292,0,-0.995896,0.113391,0.031889,-0.426829
201980,0.798716,0,-0.993944,0.109176,0.034458,-0.365854
202000,0.661608,0,-0.992025,0.103989,0.037895,-0.548781
202020,0.751299,0,-0.990208,0.096983,0.041677,-0.487805
202040,1.051002,0,-0.988592,0.089545,0.04375,-0.182927
202060,1.004142,0,-0.986539,0.088987,0.045102,-0.243902
202080,0.853449,0,-0.98425,0.091654,0.047925,-0.426829
202100,0.924713,0,-0.981995,0.095299,0.050864,-0.365854
202120,0.936221,0,-0.979773,0.09936,0.053295,-0.365854
202140,0.998436,0,-0.977484,0.106099,0.055483,-0.304878
202160,0.95628,0,-0.975094,0.108341,0.05792,-0.365854
202180,0.916891,0,-0.972536,0.111285,0.060851,-0.426829
202200,1.041706,0,-0.970146,0.113118,0.063279,-0.304878
202220,1.052105,0,-0.967655,0.115505,0.065352,-0.304878
202240,1.117275,0,-0.965097,0.11747,0.067271,-0.243902
202260,1.17725,0,-0.962438,0.119994,0.068591,-0.182927
202280,0.911844,0,-0.959644,0.122668,0.070994,-0.487805
202300,0.720798,0,-0.957086,0.126059,0.075829,-0.731707
202320,0.814086,0,-0.954797,0.123806,0.081051,-0.670732
202340,0.906038,0,-0.952643,0.119949,0.085667,-0.609756
202360,0.944359,0,-0.950455,0.114472,0.090404,-0.609756
202380,1.144601,0,-0.948301,0.1083,0.094152,-0.426829
202400,1.432322,0,-0.945709,0.108891,0.095585,-0.121951
202420,1.587577,0,-0.942713,0.116755,0.095344,0.060976
202440,1.562354,0,-0.939045,0.131883,0.094497,0.060976
202460,1.37387,0,-0.93514,0.150126,0.094605,-0.121951
